Flow id,Src IP,Dst IP,Dst port,Protocol,Application protocol,Duration,Received bytes,Received packets,Transmitted bytes,Transmitted packets,Total bytes,Total packets,label,family
1802690760480960768,fe80:0000:0000:0000:8fc8:b416:45a8:93c4,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,udp,-,0,0,0,2030,10,2030,10,normal,-
3478564910713000151,10.0.2.15,224.0.0.251,5353,udp,-,0,0,0,915,5,915,5,normal,-
7144567303292606061,10.0.2.15,142.251.37.99,443,tcp,-,48,60,1,128,2,188,3,normal,-
-1288847950797670904,10.0.2.15,142.251.37.99,443,tcp,-,41,60,1,128,2,188,3,normal,-
-801552549855807669,104.17.50.95,10.0.2.15,49651,udp,-,0,105,1,610,2,715,3,normal,-
-4906931177106038448,10.0.2.15,142.251.36.97,443,tcp,tls,355,9717,14,1622,15,11339,29,normal,-
-8005082079628227372,10.0.2.15,142.251.36.134,443,tcp,tls,512,6715,17,2142,18,8857,35,normal,-
-4203017584352728617,104.17.50.95,10.0.2.15,36214,udp,-,0,105,1,610,2,715,3,normal,-
8157211447716375078,10.0.2.15,142.251.36.78,443,tcp,tls,500,7132,22,2751,20,9883,42,normal,-
9168702843582306234,10.0.2.15,142.251.36.78,443,tcp,tls,185,7284,9,1077,10,8361,19,normal,-
3139407622609568201,10.0.2.15,52.152.143.207,443,tcp,tls,20293,10142,33,14132,33,24274,66,normal,-
3122691582259859865,10.0.2.15,52.208.34.114,443,tcp,tls,326,6634,14,1644,14,8278,28,normal,-
-3276271235963803422,10.0.2.15,216.239.32.36,443,tcp,tls,361,6720,19,2394,18,9114,37,normal,-
7527069500659646533,10.0.2.15,104.64.171.144,443,tcp,tls,42558,14024,24,6730,22,20754,46,normal,-
551161735232755316,10.0.2.15,199.59.243.223,80,tcp,http,353,775,6,1288,7,2063,13,normal,-
-7999693271106936615,10.0.2.15,199.59.243.223,80,tcp,http,3555,27800,29,6564,29,34364,58,normal,-
8831161535150351564,10.0.2.15,142.251.36.106,443,tcp,tls,877,8225,20,2257,19,10482,39,normal,-
4110462709517201524,10.0.2.15,52.205.78.47,443,tcp,tls,44106,7021,20,2775,20,9796,40,normal,-
-7930361718147970592,10.0.2.15,23.195.248.26,443,tcp,tls,64973,149725,117,6405,96,156130,213,normal,-
7693580259579155287,10.0.2.15,104.64.171.144,443,tcp,tls,5901,711,9,1190,9,1901,18,normal,-
