Flow id,Src IP,Dst IP,Dst port,Protocol,Application protocol,Duration,Received bytes,Received packets,Transmitted bytes,Transmitted packets,Total bytes,Total packets,label,family
2350450309499167626,10.127.0.165,93.184.221.240,80,tcp,-,15039,0,0,260,5,260,5,malware,smokeloader
3084384229361783801,10.127.0.165,8.8.8.8,53,udp,dns,38,147,1,73,1,220,2,normal,-
7668365308743915306,10.127.0.165,93.184.221.240,80,tcp,-,15016,0,0,260,5,260,5,malware,smokeloader
-602070440168519361,10.127.0.165,8.8.8.8,53,udp,dns,62,157,1,71,1,228,2,normal,-
4529628020648325343,10.127.0.165,93.184.221.240,80,tcp,-,15034,0,0,260,5,260,5,malware,smokeloader
-2611566304604547644,10.127.0.165,8.8.8.8,53,udp,dns,37,146,1,72,1,218,2,normal,-
8660667958866621462,10.127.0.165,8.8.8.8,53,udp,dns,39,82,1,66,1,148,2,normal,-
916277780240885807,10.127.0.165,109.206.243.140,80,tcp,http,598,166190,124,3497,66,169687,190,malware,smokeloader
3719349254769660623,10.127.0.165,109.206.243.140,80,tcp,http,195,795,5,863,6,1658,11,malware,smokeloader
358095143774537646,10.127.0.165,109.206.243.140,80,tcp,http,189,755,4,700,6,1455,10,malware,smokeloader
8999533217942503802,10.127.0.165,109.206.243.140,80,tcp,http,191,338,4,699,6,1037,10,malware,smokeloader
8507640486078386726,10.127.0.165,109.206.243.140,80,tcp,http,194,755,4,779,6,1534,10,malware,smokeloader
5553841717669442206,10.127.0.165,109.206.243.140,80,tcp,http,191,338,4,790,6,1128,10,malware,smokeloader
7519928607438518972,10.127.0.165,109.206.243.140,80,tcp,http,190,338,4,664,6,1002,10,malware,smokeloader
-7717135015406968014,10.127.0.165,8.8.8.8,53,udp,dns,53,149,1,74,1,223,2,normal,-
7493032757502084959,10.127.0.165,8.8.8.8,53,udp,dns,40,144,1,73,1,217,2,normal,-
726562430401121016,10.127.0.165,109.206.243.140,80,tcp,-,15043,0,0,260,5,260,5,malware,smokeloader
1557902890805851651,10.127.0.165,8.8.8.8,53,udp,dns,38,158,1,72,1,230,2,normal,-
-3439956784077892554,10.127.0.165,8.8.8.8,53,udp,dns,40,157,1,71,1,228,2,normal,-
-7637952072989258928,10.127.0.165,8.8.8.8,53,udp,dns,38,143,1,72,1,215,2,normal,-
299052523960057742,10.127.0.165,109.206.243.140,80,tcp,http,193,755,4,667,6,1422,10,malware,smokeloader
4805599778542234666,10.127.0.165,109.206.243.140,80,tcp,http,197,378,5,780,6,1158,11,malware,smokeloader
-4482973035656020295,10.127.0.165,109.206.243.140,80,tcp,-,15036,0,0,260,5,260,5,malware,smokeloader
-5257339961728844079,10.127.0.165,93.184.221.240,80,tcp,-,94761,0,0,1610,35,1610,35,malware,smokeloader
-5583682879946242803,10.127.0.165,93.184.221.240,80,tcp,-,94759,0,0,1610,35,1610,35,malware,smokeloader
3190011885483296416,10.127.0.165,93.184.221.240,80,tcp,-,94757,0,0,1610,35,1610,35,malware,smokeloader
-5165320370027904044,10.127.0.165,8.8.8.8,53,udp,dns,39,135,1,71,1,206,2,normal,-
668322534118651405,10.127.0.165,8.8.8.8,53,udp,dns,39,145,1,71,1,216,2,normal,-
7592798147450007465,10.127.0.165,8.8.8.8,53,udp,dns,38,146,1,72,1,218,2,normal,-
1142755785633378613,10.127.0.165,109.206.243.140,80,tcp,-,15022,0,0,260,5,260,5,malware,smokeloader
1661114333294352287,10.127.0.165,8.8.8.8,53,udp,dns,38,159,1,73,1,232,2,normal,-
5237742710076641089,10.127.0.165,8.8.8.8,53,udp,dns,38,126,1,72,1,198,2,normal,-
-5950822201779569645,10.127.0.165,8.8.8.8,53,udp,dns,8010,0,0,360,5,360,5,normal,-
6535307440898301351,10.127.0.165,8.8.8.8,53,udp,dns,40,159,1,73,1,232,2,normal,-
-6537693150526581973,10.127.0.165,8.8.8.8,53,udp,dns,38,135,1,71,1,206,2,normal,-
-6131015407938418880,10.127.0.165,109.206.243.140,80,tcp,-,15021,0,0,260,5,260,5,malware,smokeloader
4368955319567939508,10.127.0.165,109.206.243.140,80,tcp,http,196,338,4,851,6,1189,10,malware,smokeloader
5101357868406109709,10.127.0.165,109.206.243.140,80,tcp,http,199,795,5,762,6,1557,11,malware,smokeloader
6963830461663210959,10.127.0.165,109.206.243.140,80,tcp,http,191,378,5,661,6,1039,11,malware,smokeloader
-2691570540140120950,10.127.0.165,109.206.243.140,80,tcp,http,194,338,4,670,6,1008,10,malware,smokeloader
6920404282464582886,10.127.0.165,109.206.243.140,80,tcp,http,195,378,5,839,6,1217,11,malware,smokeloader
6235909001312438794,10.127.0.165,109.206.243.140,80,tcp,-,15025,0,0,260,5,260,5,malware,smokeloader
620115805285456871,10.127.0.165,8.8.8.8,53,udp,dns,71,278,2,146,2,424,4,normal,-
1350048614911988402,10.127.0.165,8.8.8.8,53,udp,dns,142,566,4,286,4,852,8,normal,-
4413390501153718068,10.127.0.165,8.8.8.8,53,udp,dns,104,395,3,218,3,613,6,normal,-
-5255544933030603121,10.127.0.165,8.8.8.8,53,udp,dns,65,270,2,142,2,412,4,normal,-
-6633823511999702455,10.127.0.165,109.206.243.140,80,tcp,-,15022,0,0,260,5,260,5,malware,smokeloader
1090550248422002112,10.127.0.165,8.8.8.8,53,udp,dns,109,252,2,144,2,396,4,normal,-
7965420430553221802,10.127.0.165,8.8.8.8,53,udp,dns,71,252,2,144,2,396,4,normal,-
2313353914613686413,10.127.0.165,8.8.8.8,53,udp,dns,68,274,2,144,2,418,4,normal,-
-6631934457604219249,10.127.0.165,8.241.130.254,80,tcp,-,-1,0,0,0,0,0,0,malware,smokeloader
-394122478548136914,10.127.0.173,8.8.8.8,53,udp,dns,38,116,1,71,1,187,2,normal,-
1893528129039629932,10.127.0.173,8.8.8.8,53,udp,dns,39,144,1,73,1,217,2,normal,-
-691385363333937775,10.127.0.173,8.8.8.8,53,udp,dns,39,144,1,70,1,214,2,normal,-
1166498912653122350,10.127.0.173,8.8.8.8,53,udp,dns,44,159,1,73,1,232,2,normal,-
9098505115126879125,10.127.0.173,8.8.8.8,53,udp,dns,119,82,1,66,1,148,2,normal,-
-6074699506109074381,10.127.0.173,109.206.243.140,80,tcp,-,15002,0,0,260,5,260,5,malware,smokeloader
